Player,Span,Matches,Innings,NO,Runs,Highest Score,Average,100's,50's,0's
AC Douglas (BER),2019-2025,25,23,1,437,74,19.86,0,2,2
Ihsanullah (AFG),2017-2022,20,23,3,437,65*,21.85,0,4,2
JT Smuts (ITA/SA),2017-2026,26,24,1,437,84,19,0,1,2
GSNFG Jayasuriya (SL),2015-2020,30,26,1,436,96,17.44,0,1,3
S Randiv (SL),2009-2016,50,37,3,435,56,12.79,0,1,5
TS Kamunhukamwe (ZIM),2018-2024,27,27,0,435,51,16.11,0,1,5
Yasir Ali (BAN),2021-2023,26,29,4,435,55,17.4,0,2,2
Bilal Masud (EST),2023-2025,19,19,5,434,82,31,0,2,1
DN Chudasama (KENYA),1996-1999,20,19,0,434,122,22.84,1,1,2
A Kirschbaum (ARG),2021-2026,33,31,6,434,51*,17.36,0,2,2
S Muthusamy (SA),2019-2025,18,20,6,434,109,31,1,2,1
SJ Rixon (AUS),1977-1985,19,30,6,434,54,18.08,0,2,5
Tauseef Ahmed (PAK),1980-1993,104,63,34,434,35*,14.96,0,0,9
TK Curran (ENG),2017-2021,60,33,17,433,47*,27.06,0,0,2
Anwar Ali (PAK),2008-2016,38,27,9,430,46,23.88,0,0,0
Naseem Shah (PAK),2019-2026,91,59,21,430,51,11.31,0,1,10
ST Finn (ENG),2010-2017,126,80,38,429,56,10.21,0,1,16
Rubel Hossain (BAN),2009-2021,159,115,53,429,45*,6.91,0,0,22
B Sai Sudharsan (IND),2023-2025,10,14,1,429,87,33,0,4,2
AA Baig (IND),1959-1967,10,18,0,428,112,23.77,1,2,1
Faisal Mubashir (GER),2021-2024,23,20,7,428,57*,32.92,0,1,2
SP Jones (AUS),1882-1888,12,24,4,428,87,21.4,0,1,3
U Bhatti (CAN),2006-2010,43,37,11,427,46,16.42,0,0,2
R Peel (ENG),1884-1896,20,33,4,427,83,14.72,0,3,8
PW Sherwell (SA),1906-1911,13,22,4,427,115,23.72,1,1,1
Zain Ul Abidin (KSA),2021-2025,51,39,15,427,58,17.79,0,1,4
PR Adams (SA),1995-2004,69,64,20,426,35,9.68,0,0,10
SW Poynter (IRE),2014-2019,47,42,11,426,39,13.74,0,0,3
DT Ring (AUS),1948-1953,13,21,2,426,67,22.42,0,4,2
RG Samuels (WI),1996-1997,14,17,4,426,125,32.76,1,1,0
Maaz Khan (LES),2021-2026,28,27,2,425,68*,17,0,3,8
SA Abbott (AUS),2014-2026,58,34,8,424,69,16.3,0,2,4
D Denton (ENG),1905-1910,11,22,1,424,104,20.19,1,1,4
R Hekure (PNG),2019-2023,49,39,4,424,58,12.11,0,1,7
BKV Prasad (IND),1994-2001,194,110,51,424,30*,7.18,0,0,18
KC Ramamoorthy (INA),2022-2025,30,27,1,424,55,16.3,0,2,5
NP Kenjige (USA),2019-2026,85,50,21,423,43,14.58,0,0,7
D Suzuki (JPN),2022-2026,51,43,14,423,45*,14.58,0,0,3
AG Kripal Singh (IND),1955-1964,14,20,5,422,100*,28.13,1,2,4
S Nadigotla (ROM),2019-2024,35,28,1,422,55,15.62,0,1,1
MH Yardy (ENG),2006-2011,42,32,13,422,60*,22.21,0,2,4
HG Vivian (NZ),1931-1937,7,10,0,421,100,42.1,1,5,0
JM Wiener (AUS),1979-1980,13,18,0,421,93,23.38,0,3,0
PJ Ongondo (Afr/KENYA),1999-2011,87,68,19,419,36,8.55,0,0,11
SR Waters (KENYA),2008-2011,20,20,0,419,74,20.95,0,2,2
RB Desai (IND),1959-1968,28,44,13,418,85,13.48,0,1,8
S Desungnoen (THA),2020-2026,45,44,7,418,42,11.29,0,0,6
S Hook (EST),2021-2025,33,29,7,418,69*,19,0,2,4
VD Adewoye (NGA),2019-2025,50,42,7,417,49,11.91,0,0,7
EAE Baptiste (WI),1983-1990,53,27,5,417,87*,18.95,0,1,1
S Ivetic (SRB),2022-2024,14,14,4,417,65*,41.7,0,3,0
RP Snell (SA),1991-1996,47,36,9,417,63,15.44,0,2,2
Enamul Haque (BAN),1990-2003,39,45,9,416,32,11.55,0,0,4
Kuldeep (POR),2022-2023,14,14,1,416,80,32,0,3,0
AE Relf (ENG),1903-1914,13,21,3,416,63,23.11,0,1,1
GL Weir (NZ),1930-1937,11,16,2,416,74*,29.71,0,3,1
IG Holland (USA),2019-2022,21,17,1,415,75,25.93,0,2,1
Ikram Alikhil (AFG),2019-2025,34,26,5,415,86,19.76,0,3,0
T Kaitano (ZIM),2021-2025,17,23,1,415,87,18.86,0,1,5
DA Reeve (ENG),1991-1996,32,26,9,415,59,24.41,0,1,1
Waqas Barkat (HKG),2014-2025,49,38,6,415,37,12.96,0,0,7
MN Hart (NZ),1994-2002,27,32,4,414,45,14.78,0,0,4
LH Rodrigues (BRA),2019-2026,24,22,6,414,59,25.87,0,3,3
GC Grant (WI),1930-1935,12,22,6,413,71*,25.81,0,3,1
EE Hemmings (ENG),1982-1991,49,33,10,413,95,17.95,0,2,6
HH Kanitkar (IND),1997-2000,36,31,8,413,57,17.95,0,1,2
OB Nightingale (GUE),2022-2025,34,25,9,413,57,25.81,0,1,2
S Thanikaithasan (DEN),2021-2025,27,25,2,413,52,17.95,0,1,3
MM Baig (QAT),2023-2026,33,30,9,412,60*,19.61,0,1,4
JP Kaltapau (VAN),2022-2024,25,23,3,412,60,20.6,0,1,3
HJ Manenti (ITA),2022-2026,25,21,1,412,65,20.6,0,2,1
Khalid Kail (OMA),2024-2024,26,23,4,411,55,21.63,0,3,1
D la Cock (NAM),2022-2022,21,21,1,411,66,20.55,0,2,2
D Parashar (UAE),2023-2026,47,38,16,411,50*,18.68,0,1,3
Usman Khalid (KSA),2021-2025,34,29,8,411,75*,19.57,0,2,1
PJ Wiseman (NZ),1998-2005,40,41,13,411,36,14.67,0,0,5
AG Fairfax (AUS),1929-1931,10,12,4,410,65,51.25,0,4,0
Mehran Khan (OMA),2015-2024,52,43,6,410,37,11.08,0,0,6
W Miyauchi (JPN),2023-2026,31,27,5,410,72,18.63,0,2,2
WJ O'Reilly (AUS),1932-1946,27,39,7,410,56*,12.81,0,1,6
OE Robinson (ENG),2021-2024,20,33,5,410,58,14.64,0,1,7
AH Bakewell (ENG),1931-1935,6,9,0,409,107,45.44,1,3,0
BAW Mendis (SL),2008-2015,145,69,30,409,78,10.48,0,1,12
DJ Insole (ENG),1950-1957,9,17,2,408,110*,27.2,1,1,2
CM McBride (SCOT),2022-2026,23,20,1,408,56,21.47,0,1,3
ID Blackwell (ENG),2002-2006,35,30,2,407,82,14.53,0,1,6
GF Labrooy (SL),1986-1992,53,50,10,407,70*,10.17,0,1,9
Aslam Khan (MAS),2022-2026,29,25,3,406,77,18.45,0,1,2
KM Jarvis (ZIM),2009-2020,84,69,25,405,37,9.2,0,0,12
Zubair Ali (QAT),2025-2026,14,14,2,405,86,33.75,0,5,4
KBJ Azad (IND),1980-1986,32,33,2,404,39*,13.03,0,0,5
LF Muller (BRA),2024-2026,20,19,2,404,57*,23.76,0,1,0
NS Yadav (IND),1979-1987,42,42,14,404,43,14.42,0,0,4
JP Bray (IRE),2006-2009,17,17,1,403,116,25.18,2,0,3
AJ Richardson (AUS),1924-1926,9,13,0,403,100,31,1,2,1
NM Coulter-Nile (AUS),2013-2019,60,36,10,402,92,15.46,0,1,5
OAC Banks (WI),2003-2005,15,21,4,401,50*,23.58,0,1,1
SJ Rhodes (ENG),1989-1995,20,25,7,401,65*,22.27,0,2,1
KE Rigg (AUS),1931-1937,8,12,0,401,127,33.41,1,1,0
TBM de Leede (NED),1996-2007,29,25,1,400,58*,16.66,0,2,4
BN Jarman (AUS),1959-1969,19,30,3,400,78,14.81,0,2,5
WS Jayantha (SL),2004-2004,17,17,2,400,74*,26.66,0,2,2
NBF Mann (SA),1947-1951,19,31,1,400,52,13.33,0,1,4
JL Ontong (Afr/SA),2001-2015,44,30,3,399,48,14.77,0,0,3
S Shivnarine (WI),1978-1979,9,15,2,399,63,30.69,0,4,2
DR Chumney (CAN),2003-2007,21,21,2,397,48,20.89,0,0,0
SS Dighe (IND),2000-2001,29,27,7,397,94*,19.85,0,1,2
GE Ngegba (SLE),2022-2024,28,28,6,396,72*,18,0,1,5
MJG Rippon (NED/NZ),2013-2022,28,18,5,396,67,30.46,0,2,2
Shiraz Khan (KUW),2019-2025,55,36,15,396,50*,18.85,0,1,2
D Dasgupta (IND),2001-2002,13,17,2,395,100,26.33,1,2,3
JW Gleeson (AUS),1967-1972,29,46,8,395,45,10.39,0,0,11
Jasdeep Singh (USA),2019-2025,75,43,7,395,38,10.97,0,0,5
A McAuley (IOM),2020-2024,23,22,1,395,50,18.8,0,1,2
RA Reifer (WI),2017-2023,17,21,1,395,62,19.75,0,3,2
Shujauddin (PAK),1954-1962,19,32,6,395,47,15.19,0,0,3
R Tari (VAN),2019-2024,38,35,9,395,56,15.19,0,1,5
S van Zyl (SA),2014-2016,12,17,2,395,101*,26.33,1,0,2
JEF Beck (NZ),1953-1956,8,15,0,394,99,26.26,0,3,1
DK Mathias (BHR),2022-2022,16,16,4,394,61,32.83,0,2,0
D Tallon (AUS),1946-1953,21,26,3,394,92,17.13,0,2,3
Amjad Sher (FIN),2019-2025,40,38,5,393,37*,11.9,0,0,4
GJ Hopkins (NZ),2004-2010,39,32,2,393,45,13.1,0,0,3
A Shirai-Patmore (JPN),2022-2026,36,27,3,393,43,16.37,0,0,3
W Gunn (ENG),1887-1899,11,20,2,392,102*,21.77,1,1,1
LN Oluoch (KENYA),2011-2025,74,46,18,392,32,14,0,0,3
Omar Rassol (BUL),2021-2024,24,23,4,392,99*,20.63,0,3,2
BM Scholtz (NAM),2019-2026,146,66,33,392,31*,11.87,0,0,8
OF Smith (WI),2018-2023,36,28,8,392,46,19.6,0,0,2
DT Christian (AUS),2010-2021,43,32,11,391,39,18.61,0,0,1
V Mbazo (BOT),2019-2026,48,43,6,391,35,10.56,0,0,5
RB Minnett (AUS),1911-1912,9,15,0,391,90,26.06,0,3,3
Rishad Hossain (BAN),2023-2026,72,47,11,391,53,10.86,0,1,8
S Vesawkar (NEP),2014-2022,24,23,6,391,55,23,0,1,0
ZM Tribe (JER),2021-2025,27,25,4,390,43*,18.57,0,0,1
D Williams (WI),1988-1998,47,42,8,389,65,11.44,0,1,11
Ikramullah Khan (QAT),2022-2026,42,28,5,388,55,16.86,0,3,3
JA McCollum (IRE),2019-2023,16,22,1,387,73,18.42,0,2,2
Tanzim Hasan Sakib (BAN),2023-2025,56,35,11,387,50,16.12,0,1,5
SP Gomes (POR),2022-2025,12,12,4,386,82*,48.25,0,4,2
BW Hilfenhaus (AUS),2007-2012,59,52,21,386,56*,12.45,0,1,9
Noman Ali (PAK),2021-2025,21,30,5,385,97,15.4,0,1,8
SD Outerbridge (BER),2006-2009,26,26,1,385,56,15.4,0,1,4
A Shreshta (NGA),2021-2023,22,21,2,385,76,20.26,0,1,1
MJ Stewart (ENG),1962-1964,8,12,1,385,87,35,0,2,1
Khalid Latif (PAK),2008-2016,18,18,2,384,64,24,0,2,2
IDR Bradshaw (WI),2004-2007,68,43,13,383,37,12.76,0,0,7
K Hinds (BHM),2021-2025,28,28,0,383,60,13.67,0,2,6
Kashif Daud (UAE),2021-2022,35,29,11,383,76*,21.27,0,2,4
SS McKechnie (HKG),2017-2023,38,33,10,383,44,16.65,0,0,4
J Moroney (AUS),1949-1952,7,12,1,383,118,34.81,2,1,3
AA Onikoyi (NGA),2019-2023,29,27,3,383,52*,15.95,0,1,5
Shakeel Ahmed (OMA),2023-2026,63,37,11,382,45,14.69,0,0,5
J Singye (BHU),2019-2025,25,24,0,382,46,15.91,0,0,1
T Sandeep (SWZ),2022-2024,20,20,4,381,68,23.81,0,2,1
Shahzaib Jamil (QAT),2024-2026,24,21,3,381,44,21.16,0,0,1
PGH Fender (ENG),1921-1929,13,21,1,380,60,19,0,2,3
MW Forde (WI),2023-2026,41,28,7,380,58,18.09,0,1,3
Ijaz Faqih (PAK),1980-1988,32,27,4,380,105,16.52,1,0,6
RN Lewis (WI),1997-2009,34,32,5,380,49,14.07,0,0,6
R Lutaaya (UGA),2022-2025,28,26,0,380,70,14.61,0,1,5
Tamoor Sajjad (QAT),2019-2020,16,15,4,380,68,34.54,0,1,1
IKEG Artawan (INA),2022-2025,77,53,20,379,41,11.48,0,0,7
C Brennan (JER),2021-2025,29,26,8,379,67*,21.05,0,2,2
J Coetzee (THA),2023-2026,26,23,6,378,45*,22.23,0,0,1
PGZ Harris (NZ),1955-1965,9,18,1,378,101,22.23,1,1,3
NMS Param (SGP),2019-2023,20,18,4,378,72*,27,0,2,1
TC Bruce (NZ/SCOT),2017-2026,23,23,3,377,59*,18.85,0,2,2
SS Karim (IND),1997-2000,35,28,4,377,55,15.7,0,1,2
A Gbla (SLE),2021-2025,42,36,6,376,55*,12.53,0,1,5
FG Mann (ENG),1948-1949,7,12,2,376,136*,37.6,1,0,0
BM Pecic (SRB),2024-2025,19,19,2,376,102,22.11,1,1,0
Pyae Phyo Wai (MYAN),2023-2025,32,30,0,376,52,12.53,0,1,4
ML Udawatte (SL),2008-2018,19,21,0,376,73,17.9,0,2,5
TJ Zoehrer (AUS),1986-1994,32,29,5,376,52*,15.66,0,2,2
D Ajekun (NGA),2019-2025,35,33,2,375,36,12.09,0,0,3
IDK Salisbury (ENG),1992-2000,19,27,4,375,50,16.3,0,1,4
Scott Austin (CYP),2021-2025,29,25,2,375,46,16.3,0,0,3
GRA Langley (AUS),1951-1956,26,37,12,374,53,14.96,0,1,3
Musaddiq Ahmed (GER),2024-2025,10,10,0,374,107,37.4,1,1,0
RO Schwarz (SA),1906-1912,20,35,8,374,61,13.85,0,1,6
RR Sharan (CAM),2023-2024,22,22,2,374,86*,18.7,0,2,5
Arshad Ayub (IND),1987-1990,45,36,11,373,57,14.92,0,1,2
WGA Parkhouse (ENG),1950-1959,7,13,0,373,78,28.69,0,2,1
P Sharma (KENYA),2022-2025,27,26,3,373,43,16.21,0,0,2
Danish Kaneria (PAK),2000-2010,79,94,41,372,29,7.01,0,0,27
FC Hayes (ENG),1973-1976,15,23,2,372,106*,17.71,1,1,6
WK McCallan (IRE),2006-2009,48,31,12,372,50*,19.57,0,1,6
SN Khan (IND),2024-2024,6,11,1,371,150,37.1,1,3,3
AE Dick (NZ),1961-1965,17,30,4,370,50*,14.23,0,1,4
Talat Ali (PAK),1972-1979,10,18,2,370,61,23.12,0,2,2
A Turay (SLE),2022-2024,23,23,2,370,78*,17.61,0,1,2
JW Hastings (AUS),2010-2017,39,29,13,369,51,23.06,0,1,1
M Louis (WI),2024-2025,10,20,0,369,97,18.45,0,2,1
S Pradhan (BHU),2022-2024,28,27,1,369,59,14.19,0,1,3
Aaqib Javed (PAK),1988-1998,185,78,33,368,45*,8.17,0,0,15
PJ Forrest (AUS),2012-2012,15,14,0,368,104,26.28,1,3,2
AD Mascarenhas (ENG),2007-2009,34,26,7,368,52,19.36,0,1,5
C Pringle (NZ),1990-1995,78,62,23,368,34*,9.43,0,0,10
A Randhawa (AUT),2022-2026,30,26,6,368,78*,18.4,0,1,0
Sahir Naqash (GER),2019-2023,38,27,11,368,51*,23,0,1,6
Shafiul Islam (BAN),2010-2020,91,61,14,368,53,7.82,0,1,12
A Augastin (TAN),2025-2026,15,14,3,367,63,33.36,0,4,1
P Lever (ENG),1970-1975,27,21,4,367,88*,21.58,0,2,1
A McGrath (ENG),2003-2004,18,17,2,367,81,24.46,0,3,1
BBJL Perera (ITA),2019-2022,18,16,3,367,67,28.23,0,1,0
CA Lynn (AUS),2014-2018,22,20,1,366,44,19.26,0,0,2
NJN Hawke (AUS),1963-1968,27,37,15,365,45*,16.59,0,0,6
Rizwan-uz-Zaman (PAK),1981-1989,14,22,1,365,60,17.38,0,3,2
Awais Ahmed (ESP),2019-2023,28,20,3,364,102*,21.41,1,0,3
R Escobar (ARG),2019-2026,27,21,6,364,55,24.26,0,1,1
T Maruma (ZIM),2007-2021,39,38,5,364,41,11.03,0,0,5
RG Aga (KENYA),2004-2014,32,27,2,363,86,14.52,0,2,1
Sazib Bhuiyan (CZK-R),2022-2025,28,24,2,363,59,16.5,0,3,3
L Steenkamp (NAM),2025-2026,13,13,0,363,78,27.92,0,3,0
JTC Vaughan (NZ),1992-1997,24,28,8,363,44,18.15,0,0,0
Wasim Ali (OMA),2019-2026,24,23,5,363,62,20.16,0,1,2
Zubayr Hamza (SA),2019-2024,9,17,0,363,62,21.35,0,2,2
DA Blignaut (GER),2021-2023,29,25,5,362,47*,18.1,0,0,1
JK Lever (ENG),1976-1986,43,42,9,362,53,10.96,0,1,3
WE Russell (ENG),1961-1967,10,18,1,362,70,21.29,0,2,2
GH Worker (NZ),2015-2018,12,12,2,362,62,36.2,0,4,0
SG Mangela (UGA),2024-2025,16,16,1,361,65*,24.06,0,2,1
S Ramadhin (WI),1950-1961,43,58,14,361,44,8.2,0,0,14
GC Small (ENG),1986-1992,70,48,16,361,59,11.28,0,1,10
AM Hardie (AUS),2023-2025,31,23,3,360,44,18,0,0,1
Ibrahim Rahimi (NOR),2022-2026,20,18,3,360,55*,24,0,1,2
D Khanal (NEP),2022-2024,17,15,0,360,76,24,0,3,2
T Musekiwa (ZIM),2024-2026,41,35,13,360,28,16.36,0,0,4
BJ Patel (KENYA),2001-2006,31,25,3,360,44,16.36,0,0,4
SS Pathirana (SL),2015-2017,23,19,1,359,56,19.94,0,1,0
HJH Scott (AUS),1884-1886,8,14,1,359,102,27.61,1,1,0
ID Craig (AUS),1953-1958,11,18,0,358,53,19.88,0,2,3
Isa Zaroo (BUL),2023-2025,22,19,1,358,78*,19.88,0,2,1
Shah Abrar Hussain (CAM),2023-2025,29,20,4,358,74*,22.37,0,1,3
Shahil Momin (AUT),2021-2023,24,21,4,358,61,21.05,0,1,1
A Donovan (PHI),2024-2025,15,13,6,357,122*,51,1,1,1
A Dutt (NED),2021-2026,83,55,16,357,30,9.15,0,0,8
P Holmes (ENG),1921-1932,7,14,1,357,88,27.46,0,4,3
P Silas (BOT),2019-2026,43,31,7,357,42,14.87,0,0,6
S Vijay Unni (MAS),2022-2026,73,40,16,357,38,14.87,0,0,0
SJ Pegler (SA),1910-1924,16,28,5,356,35*,15.47,0,0,6
BN Toube (CAM),2021-2024,22,21,1,356,49,17.8,0,0,2
JMM Commaille (SA),1910-1928,12,22,1,355,47,16.9,0,0,1
Haroon Arshad (HKG),2019-2024,36,26,9,355,68,20.88,0,1,2
PNF Mansell (SA),1951-1955,13,22,2,355,90,17.75,0,2,3
MS Nichols (ENG),1930-1939,14,19,7,355,78*,29.58,0,2,0
MB Poore (NZ),1953-1956,14,24,1,355,45,15.43,0,0,6
WA Shalders (SA),1899-1907,12,23,1,355,42,16.13,0,0,4
M Spoors (CAN),2022-2023,15,14,2,355,108*,29.58,1,1,1
Surya Anand (DEN),2021-2025,29,21,7,355,50*,25.35,0,1,2
AD Brown (ENG),1996-2001,16,16,0,354,118,22.12,1,1,2
Mazharul Islam (SEY),2021-2026,22,21,4,354,50,20.82,0,2,3
Mustafizur Rahman (BAN),2015-2026,260,119,60,354,20,6,0,0,25
RT Spooner (ENG),1951-1955,7,14,1,354,92,27.23,0,3,3
BC Hollioake (ENG),1997-2002,22,21,2,353,63,18.57,0,2,4
BL Irvine (SA),1970-1970,4,7,0,353,102,50.42,1,2,0
CPH Ramanayake (SL),1986-1995,80,59,23,353,34*,9.8,0,0,14
HB Taber (AUS),1966-1970,16,27,5,353,48,16.04,0,0,3
BP Julian (AUS),1993-1999,32,26,1,352,56*,14.08,0,1,7
Manan Bashir (BUL),2024-2025,13,13,3,352,70,35.2,0,1,0
CT Mutombodzi (ZIM),2013-2020,30,29,4,352,34,14.08,0,0,2
T Parima (COK),2022-2025,17,17,1,352,104,22,1,0,2
JG Leggat (NZ),1952-1956,9,18,2,351,61,21.93,0,2,1
SMSM Senanayake (SL),2012-2016,74,46,17,351,42,12.1,0,0,8
DK Gaekwad (IND),1952-1961,11,20,1,350,52,18.42,0,1,3
CK Jasmat (Samoa),2022-2025,24,22,4,350,42*,19.44,0,0,2
SCG MacGill (AUS),1998-2008,47,49,12,350,43,9.45,0,0,12
CK Nayudu (IND),1932-1936,7,14,0,350,81,25,0,2,0
TL Chatara (ZIM),2010-2024,157,91,38,349,23,6.58,0,0,17
Fayyaz Butt (OMA),2019-2024,77,41,19,349,44,15.86,0,0,3
B Fitchet (GUE),2023-2025,20,20,0,349,41,17.45,0,0,0
Shuvagata Hom (BAN),2011-2016,17,22,7,349,50,23.26,0,1,3
JA Warrican (WI),2015-2025,23,41,14,349,41,12.92,0,0,7
DG Blampied (JER),2019-2025,48,34,13,348,43*,16.57,0,0,4
HA Jackson (Fran),2021-2025,25,24,2,348,50,15.81,0,1,1
GP Meade (ITA),2019-2026,39,30,7,348,59*,15.13,0,1,5
VV Morea (PNG),2014-2018,18,18,1,348,65*,20.47,0,3,2
EP Nupen (SA),1921-1936,17,31,7,348,69,14.5,0,2,5
MV Nagamootoo (WI),2000-2002,29,26,7,347,68,18.26,0,1,1
OE Olaleye (NGA),2021-2025,26,24,3,347,46*,16.52,0,0,2
Akram Raza (PAK),1989-1995,58,37,16,346,33*,16.47,0,0,7
SM Davies (ENG),2009-2011,13,13,0,346,87,26.61,0,1,1
GK Ghalley (BHU),2022-2026,34,32,5,346,40,12.81,0,0,6
EJ Gray (NZ),1983-1988,20,23,1,346,50,15.72,0,1,0
AA Jangoo (WI),2024-2026,13,14,3,346,104*,31.45,1,1,2
JAD Lawrenson (JER),2023-2024,17,12,1,346,114,31.45,1,1,0
ZB Lion-Cachet (NED),2024-2026,26,22,0,346,78,15.72,0,2,2
LSM Miller (NZ),1953-1958,13,25,0,346,47,13.84,0,0,5
C Munoz-Mills (ESP),2019-2025,46,30,16,346,33*,24.71,0,0,2
JA Fitzgerald (GIBR),2019-2025,39,33,14,345,28*,18.15,0,0,5
EW Freeman (AUS),1968-1970,11,18,0,345,76,19.16,0,2,0
AM Kimote (TAN),2021-2026,81,45,20,345,32,13.8,0,0,6
S Sreesanth (IND),2005-2011,90,64,25,345,35,8.84,0,0,14
V Sukumaran (UAE),2022-2024,20,18,0,345,97,19.16,0,2,3
Lord Tennyson (ENG),1913-1921,9,12,1,345,74*,31.36,0,4,1
DE Bernard (WI),2003-2010,24,19,4,344,69,22.93,0,3,1
Imran Ameer (MLT),2022-2025,25,23,7,344,46*,21.5,0,0,1
Sheikh Rasik (HUN),2023-2025,10,10,2,344,106*,43,1,2,0
LA Stricker (SA),1910-1912,13,24,0,344,48,14.33,0,0,5
Imran Asif (AUT),2021-2026,22,21,2,343,102,18.05,1,0,1
FLH Mooney (NZ),1949-1954,14,22,2,343,46,17.15,0,0,1
DJ Brown (ENG),1965-1969,26,34,5,342,44*,11.79,0,0,6
BN French (ENG),1985-1988,29,29,7,342,59,15.54,0,1,4
S Joseph (WI),2024-2026,39,32,11,342,44,16.28,0,0,3
KL Hutchings (ENG),1907-1909,7,12,0,341,126,28.41,1,1,1
CFK van Wyk (NZ),2012-2012,9,17,1,341,71,21.31,0,1,3
F Banunaek (INA),2022-2025,85,35,8,340,54,12.59,0,1,5
R Dianish (MLT),2024-2025,20,20,1,340,58,17.89,0,1,2
AEE Vogler (SA),1906-1911,15,26,6,340,65,17,0,2,4
K Birkenstock (NAM),2019-2023,29,22,2,339,61,16.95,0,2,3
TW Garrett (AUS),1877-1888,19,33,6,339,51*,12.55,0,1,5
Mujeeb Ur Rahman (AFG),2017-2026,141,60,23,339,64,9.16,0,1,15
Ahmed Hassan (MDV),2019-2022,21,20,1,338,53,17.78,0,1,1
ZE Surkari (CAN),2008-2011,27,25,3,338,49,15.36,0,0,2
Amar Naeem (AUT),2024-2026,25,21,5,337,66,21.06,0,1,1
H Gori (CZK-R),2019-2020,11,11,0,337,66,30.63,0,1,1
A Mundra (SWE),2024-2025,15,15,2,337,56*,25.92,0,1,1
Adnan Mufti (UAE),2017-2018,19,17,5,336,57*,28,0,1,0
MJ Hay (NZ),2024-2026,23,18,3,336,99*,22.4,0,2,3
Mahmood Hussain (PAK),1952-1962,27,39,6,336,35,10.18,0,0,8
SD Robson (ENG),2014-2014,7,11,0,336,127,30.54,1,1,0
HSTL Hendry (AUS),1921-1929,11,18,2,335,112,20.93,1,0,1
R Baaleri (GHA),2021-2026,26,22,5,334,56*,19.64,0,2,0
Shoriful Islam (BAN),2021-2025,111,66,23,334,26,7.76,0,0,9
C Tommy (VAN),2019-2024,24,21,0,334,47,15.9,0,0,3
Z Bimenyimana (RWN),2021-2025,100,62,18,333,30,7.56,0,0,15
Amir Zaib (POR),2021-2024,23,20,3,332,45*,19.52,0,0,3
NO Miller (WI),2008-2018,60,34,17,332,51,19.52,0,1,5
NS Poonia (SCOT),2006-2010,29,28,2,332,67,12.76,0,1,9
Amoluk Singh (GHA),2021-2022,15,14,2,332,80*,27.66,0,2,1
DL Bairstow (ENG),1979-1984,25,27,7,331,59,16.55,0,1,2
Muhammad Umar (KUW),2024-2026,25,21,4,331,59,19.47,0,1,1
S Mukuddem (BER),2006-2007,20,18,4,331,57,23.64,0,1,2
RC Blunt (NZ),1930-1932,9,13,1,330,96,27.5,0,1,1
Faisal Javed (QAT),2019-2019,15,15,0,330,61,22,0,2,1
FR Foster (ENG),1911-1912,11,15,1,330,71,23.57,0,3,1
VL Mehra (IND),1955-1964,8,14,1,329,62,25.3,0,2,1
MS Maker (TAN),2025-2026,15,13,8,328,67*,65.6,0,2,0
PA Nixon (ENG),2007-2007,20,19,5,328,49,23.42,0,0,2
BDH Stevens (JER),2019-2023,21,21,1,328,44,16.4,0,0,1
Ameer Saiyed (BOT),2019-2026,19,18,0,327,55,18.16,0,1,0
FDW McCreath (SCOT),2025-2026,15,12,0,327,81,27.25,0,2,0
Mohammad Boota (UAE),2018-2022,28,24,8,327,59*,20.43,0,1,1
AM Moir (NZ),1951-1959,17,30,8,327,41*,14.86,0,0,5
Ali Nayyer (SUI),2021-2025,31,24,9,327,48*,21.8,0,0,2
HF Wade (SA),1935-1936,10,18,2,327,40*,20.43,0,0,4
Zahoor Elahi (PAK),1996-1997,16,17,1,327,86,20.43,0,3,3
AIC Dodemaide (AUS),1987-1993,34,31,13,326,50,18.11,0,1,1
T Suri (UAE),2023-2025,17,17,1,326,77,20.37,0,1,4
HR Walsh (USA/WI),2019-2024,64,31,10,326,46*,15.52,0,0,2
Bakhtiar Tahiri (BUL),2020-2025,17,12,2,325,66,32.5,0,1,0
GM Fullerton (SA),1947-1951,7,13,0,325,88,25,0,3,1
CMH Hathorn (SA),1902-1911,12,20,1,325,102,17.1,1,0,1
G Thomas (AUS),1965-1966,8,12,1,325,61,29.54,0,3,0
LB Ferbrache (GUE),2019-2025,36,26,6,324,55,16.2,0,1,3
AN Lascu (ROM),2024-2025,12,11,4,324,72*,46.28,0,3,0
D Muhumuza (UGA),2019-2022,32,22,8,324,59*,23.14,0,2,1
V Rathour (IND),1996-1997,13,17,0,324,54,19.05,0,2,0
V Shankar (IND),2018-2019,21,12,1,324,46,29.45,0,0,0
EAR de Silva (SL),1985-1992,38,36,10,323,50,12.42,0,1,5
TJ Murtagh (IRE),2012-2019,75,47,17,323,54*,10.76,0,1,7
Rafiullah (OMA),2022-2024,32,25,3,323,33,14.68,0,0,4
CTB Turner (AUS),1887-1895,17,32,4,323,29,11.53,0,0,6
A Natubhai Ahir (PAN),2019-2025,27,26,0,322,51,12.38,0,1,4
CF Tlali (LES),2021-2026,28,27,2,322,42,12.88,0,0,4
KJJ van Noortwijk (NED),1996-2003,9,9,2,322,134*,46,1,1,1
G Venkateswaran (LUX),2019-2025,22,21,4,321,59,18.88,0,1,0
TS Worthington (ENG),1930-1937,9,11,0,321,128,29.18,1,1,4
