Player,Span,Matches,Innings,NO,Runs,Highest_Score,Average,100s,50s,0s,Country
Mabsar Abdulla,2024-2024,2,1.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,MDV
AK Mandal,2015-2015,2,2.0,0.0,11.0,9.0,5.5,0.0,0.0,0.0,NEP
Mazhar Khan,2022-2024,5,4.0,1.0,11.0,7.0,3.66,0.0,0.0,1.0,SVN
JM Mennie,2016-2016,3,4.0,0.0,11.0,10.0,2.75,0.0,0.0,2.0,AUS
MJ Mindley,2022-2024,2,2.0,1.0,11.0,11.0,11.0,0.0,0.0,1.0,WI
VM Muddiah,1959-1960,2,3.0,1.0,11.0,11.0,5.5,0.0,0.0,1.0,IND
FC Muniz,2025-2025,6,5.0,3.0,11.0,8.0,5.5,0.0,0.0,1.0,BRA
K Namchaikul,2022-2024,18,8.0,4.0,11.0,5.0,2.75,0.0,0.0,2.0,THA
A Nimaga,2024-2024,3,3.0,1.0,11.0,7.0,5.5,0.0,0.0,0.0,Mali
JM Noreiga,1971-1971,4,5.0,2.0,11.0,9.0,3.66,0.0,0.0,1.0,WI
JJ Nyambo,2022-2024,13,6.0,2.0,11.0,4.0,2.75,0.0,0.0,1.0,TAN
AL Ochse,1928-1929,3,4.0,1.0,11.0,4.0,3.66,0.0,0.0,0.0,SA
CG Osborne,2023-2023,2,2.0,1.0,11.0,8.0,11.0,0.0,0.0,0.0,CRT
Owais Ahmed,2024-2026,18,4.0,3.0,11.0,10.0,11.0,0.0,0.0,1.0,QAT
RJG Palmer,2019-2023,10,3.0,3.0,11.0,5.0,0.0,0.0,0.0,0.0,JER
S Pillay,2026-2026,1,1.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,SEY
Moshiur Rahman,2021-2022,4,3.0,2.0,11.0,5.0,11.0,0.0,0.0,0.0,EST
U Ranchod,1992-1993,4,3.0,1.0,11.0,7.0,5.5,0.0,0.0,0.0,ZIM
RT Rubbi,2024-2024,2,2.0,0.0,11.0,9.0,5.5,0.0,0.0,0.0,INA
Saad Ali,2019-2019,2,2.0,0.0,11.0,7.0,5.5,0.0,0.0,0.0,PAK
Sohel Ebrahim Desai,2024-2024,5,5.0,1.0,11.0,5.0,2.75,0.0,0.0,2.0,PAN
KK Sharma,2024-2025,4,3.0,2.0,11.0,8.0,11.0,0.0,0.0,0.0,SVN
R Sharma,2004-2004,2,2.0,0.0,11.0,10.0,5.5,0.0,0.0,0.0,HKG
CK Singh,1960-1960,2,3.0,0.0,11.0,11.0,3.66,0.0,0.0,2.0,WI
J Slight,1880-1880,1,2.0,0.0,11.0,11.0,5.5,0.0,0.0,1.0,AUS
C Stephenson,2024-2024,5,4.0,0.0,11.0,8.0,2.75,0.0,0.0,1.0,Blz
GB Street,1923-1923,1,2.0,1.0,11.0,7.0,11.0,0.0,0.0,0.0,ENG
GA Stuurman,2021-2022,3,2.0,0.0,11.0,11.0,5.5,0.0,0.0,1.0,SA
Suresh Kumar,2019-2019,2,2.0,1.0,11.0,10.0,11.0,0.0,0.0,0.0,Peru
Syed Amanullah,2021-2021,4,2.0,1.0,11.0,11.0,11.0,0.0,0.0,1.0,GRC
Syed Tameem,2022-2022,1,1.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,QAT
Tanveer Ahmed,2016-2018,11,6.0,5.0,11.0,7.0,11.0,0.0,0.0,1.0,HKG
RA Tappin,2025-2025,4,4.0,0.0,11.0,6.0,2.75,0.0,0.0,1.0,BHM
A Tripathi,2019-2025,10,6.0,2.0,11.0,6.0,2.75,0.0,0.0,0.0,MEX
M Tuilaepa,2023-2023,2,2.0,1.0,11.0,9.0,11.0,0.0,0.0,0.0,Samoa
W Uisuk,2020-2020,4,4.0,0.0,11.0,5.0,2.75,0.0,0.0,0.0,THA
TCW Veillard,2019-2019,4,2.0,1.0,11.0,8.0,11.0,0.0,0.0,0.0,GUE
MG Waite,1938-1938,2,3.0,0.0,11.0,8.0,3.66,0.0,0.0,1.0,AUS
KA Walter,1961-1961,2,3.0,0.0,11.0,10.0,3.66,0.0,0.0,1.0,SA
BT Watambwa,2001-2002,6,8.0,5.0,11.0,4.0,3.66,0.0,0.0,2.0,ZIM
JG Williamson,1999-1999,2,2.0,0.0,11.0,10.0,5.5,0.0,0.0,0.0,SCOT
B Yograj Singh,1980-1981,7,6.0,2.0,11.0,6.0,2.75,0.0,0.0,1.0,IND
Zahid Shah,2008-2008,2,2.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,UAE
Abdul Rahman,2023-2023,3,3.0,1.0,10.0,4.0,5.0,0.0,0.0,0.0,AFG
Acrey Hugo,2025-2025,4,2.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,TAN
KK Ahmed,2018-2024,29,5.0,3.0,10.0,5.0,5.0,0.0,0.0,0.0,IND
Akif Javed,2025-2025,3,3.0,1.0,10.0,8.0,5.0,0.0,0.0,0.0,PAK
Ali Hasan,2022-2026,11,4.0,1.0,10.0,10.0,3.33,0.0,0.0,3.0,ITA
Ali Rasool,2024-2025,9,3.0,1.0,10.0,4.0,5.0,0.0,0.0,0.0,BUL
MA Aponso,2016-2018,12,8.0,4.0,10.0,4.0,2.5,0.0,0.0,2.0,SL
PUKK Arachchige,2025-2025,3,3.0,0.0,10.0,4.0,3.33,0.0,0.0,0.0,FIN
Ashar Abbas,2026-2026,3,3.0,1.0,10.0,10.0,5.0,0.0,0.0,2.0,CRC
Ashish Bam,2025-2026,5,3.0,2.0,10.0,9.0,10.0,0.0,0.0,1.0,CYP
A Ashok,2023-2026,4,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,NZ
K Babu,2025-2025,8,7.0,5.0,10.0,3.0,5.0,0.0,0.0,0.0,SKOR
H Beresford-Peirse,2025-2025,3,2.0,0.0,10.0,7.0,5.0,0.0,0.0,0.0,CRT
K Boniface,2025-2025,6,4.0,2.0,10.0,4.0,5.0,0.0,0.0,1.0,NGA
D Brown,2001-2002,3,2.0,1.0,10.0,9.0,10.0,0.0,0.0,0.0,WI
B Casson,2008-2008,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,AUS
DKJ Claude,2024-2024,5,5.0,0.0,10.0,5.0,2.0,0.0,0.0,1.0,CIV
R Cunningham,2021-2022,7,3.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,GIBR
SW Currie,2024-2024,3,2.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,SCOT
H Dean,1912-1912,3,4.0,2.0,10.0,8.0,5.0,0.0,0.0,1.0,ENG
DLS de Silva,1979-1979,2,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,SL
WRS de Silva,2002-2007,3,2.0,1.0,10.0,5.0,10.0,0.0,0.0,0.0,SL
GM Emmett,1948-1948,1,2.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,ENG
JJ Esmeijer,2002-2003,6,5.0,1.0,10.0,7.0,2.5,0.0,0.0,3.0,NED
Fareed Shius,2023-2023,2,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,MDV
PLS Gamage,2014-2018,14,13.0,7.0,10.0,3.0,1.66,0.0,0.0,1.0,SL
S Gantulga,2024-2024,6,6.0,0.0,10.0,6.0,1.66,0.0,0.0,2.0,MNG
B Geeves,2008-2009,3,2.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,AUS
ESH Giddins,1999-2000,4,7.0,3.0,10.0,7.0,2.5,0.0,0.0,3.0,ENG
S Hallett,2019-2019,4,4.0,0.0,10.0,5.0,2.5,0.0,0.0,1.0,Peru
JN Hamilton,2019-2021,2,3.0,0.0,10.0,5.0,3.33,0.0,0.0,1.0,WI
J Hansrod,2021-2021,4,3.0,0.0,10.0,7.0,3.33,0.0,0.0,0.0,SWA
JR Hodges,1877-1877,2,4.0,1.0,10.0,8.0,3.33,0.0,0.0,1.0,AUS
CL Johnson,1896-1896,1,2.0,0.0,10.0,7.0,5.0,0.0,0.0,0.0,SA
AV Kale,2003-2003,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,IND
G Kaltongga,2019-2019,3,2.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,VAN
A Karvelas,2022-2022,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,GRC
M Leporoporo,2021-2024,7,4.0,2.0,10.0,5.0,5.0,0.0,0.0,0.0,LES
NJ MacRae,2006-2006,2,2.0,0.0,10.0,8.0,5.0,0.0,0.0,0.0,SCOT
CA Marshall,1979-1979,2,2.0,0.0,10.0,8.0,5.0,0.0,0.0,0.0,CAN
A Martin,2011-2011,10,6.0,5.0,10.0,4.0,10.0,0.0,0.0,0.0,WI
Ma Qiancheng,2023-2024,11,7.0,2.0,10.0,7.0,2.0,0.0,0.0,2.0,CHN
Milad Momend,2023-2025,13,8.0,3.0,10.0,6.0,2.0,0.0,0.0,4.0,LUX
Mohammed Nadeem,2019-2024,43,10.0,7.0,10.0,4.0,3.33,0.0,0.0,2.0,QAT
BD Morrison,1963-1963,1,2.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,NZ
Mutte Ikram,2025-2025,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,HUN
N Ndouteng,2021-2023,5,4.0,2.0,10.0,9.0,5.0,0.0,0.0,1.0,CAM
S Nerandzic,2019-2022,3,2.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,SRB
YM Nkanya,2022-2026,55,13.0,7.0,10.0,4.0,1.66,0.0,0.0,6.0,TAN
AM Pai,1969-1969,1,2.0,0.0,10.0,9.0,5.0,0.0,0.0,0.0,IND
J Pakeman,2024-2024,5,3.0,0.0,10.0,7.0,3.33,0.0,0.0,1.0,Blz
KE Palmer,1965-1965,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,ENG
BMW Patterson,1999-1999,3,3.0,0.0,10.0,10.0,3.33,0.0,0.0,2.0,SCOT
SL Perera,2019-2019,2,2.0,0.0,10.0,7.0,5.0,0.0,0.0,0.0,GHA
JE Pitcher,2019-2023,9,3.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,BER
B Pondani,2021-2026,38,7.0,5.0,10.0,6.0,5.0,0.0,0.0,1.0,MWI
P Raho,2014-2016,3,2.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,PNG
Rajkumar Rajendran,2024-2024,3,2.0,0.0,10.0,8.0,5.0,0.0,0.0,0.0,MAS
TJ Ramphoma,2024-2024,4,4.0,1.0,10.0,5.0,3.33,0.0,0.0,1.0,LES
SHA Rance,2017-2019,10,3.0,0.0,10.0,8.0,3.33,0.0,0.0,0.0,NZ
KTH Ratnayake,2025-2025,2,2.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,SL
SF Rehman,1958-1958,1,2.0,0.0,10.0,8.0,5.0,0.0,0.0,0.0,PAK
GA Reynold,2019-2019,3,2.0,1.0,10.0,6.0,10.0,0.0,0.0,0.0,Blz
DL Richards,2022-2022,5,4.0,1.0,10.0,4.0,3.33,0.0,0.0,0.0,STHEL
Salman Nazar,2021-2022,8,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,CAN
RL Sanghvi,1998-2001,11,4.0,0.0,10.0,8.0,2.5,0.0,0.0,2.0,IND
A Sathyan,2024-2024,2,2.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,CRT
Shamyl Hussain,2026-2026,2,2.0,0.0,10.0,6.0,5.0,0.0,0.0,0.0,PAK
Shariful Haque,1998-1998,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,BAN
LK Sharma,2024-2024,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,MEX
Shujaat Rasool,2026-2026,2,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,BHR
KN Singh,2026-2026,5,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,SUR
S Srikanth,2022-2022,1,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,SGP
MP Stead,1979-1979,2,2.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,CAN
Surya Tamang,2024-2024,2,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,NEP
T Yotharat,2022-2025,6,3.0,3.0,10.0,6.0,0.0,0.0,0.0,0.0,THA
N Thushara,2022-2026,30,10.0,8.0,10.0,6.0,5.0,0.0,0.0,1.0,SL
D Traore,2022-2023,7,5.0,2.0,10.0,6.0,3.33,0.0,0.0,2.0,Mali
JPF Travers,1902-1902,1,2.0,0.0,10.0,9.0,5.0,0.0,0.0,0.0,AUS
T Tumursukh,2023-2024,10,10.0,4.0,10.0,6.0,1.66,0.0,0.0,5.0,MNG
Uzair Amir,2023-2023,2,2.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,QAT
MDJ Walker,2003-2003,3,1.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,NZ
PK Wijetunge,1993-1993,1,2.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,SL
ER Wilson,1921-1921,1,2.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,ENG
WA Wisneski,2000-2000,3,2.0,1.0,10.0,6.0,10.0,0.0,0.0,0.0,NZ
T Wuatai,2024-2025,6,4.0,2.0,10.0,7.0,5.0,0.0,0.0,1.0,COK
BAA Zammitt,2023-2023,3,3.0,0.0,10.0,9.0,3.33,0.0,0.0,1.0,GIBR
AK Zesers,1987-1987,2,2.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,AUS
Aminullah Tanha,2022-2025,5,5.0,0.0,9.0,4.0,1.8,0.0,0.0,2.0,NOR
T Amresh,2026-2026,2,2.0,0.0,9.0,7.0,4.5,0.0,0.0,0.0,CRC
Anam Mollik,2019-2019,2,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,ITA
S Banamali,2024-2024,5,2.0,1.0,9.0,8.0,9.0,0.0,0.0,0.0,SGP
HH Banner,2019-2019,3,2.0,1.0,9.0,6.0,9.0,0.0,0.0,0.0,Blz
CE Bulfin,1999-1999,4,2.0,1.0,9.0,7.0,9.0,0.0,0.0,0.0,NZ
SJ Cameron,2018-2018,2,2.0,1.0,9.0,8.0,9.0,0.0,0.0,0.0,SCOT
SJ Chalmers,2009-2009,2,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,SCOT
LJ Coldwell,1962-1964,7,7.0,5.0,9.0,6.0,4.5,0.0,0.0,1.0,ENG
NA David,1997-1997,4,2.0,2.0,9.0,8.0,0.0,0.0,0.0,0.0,IND
EQ Davies,1936-1939,5,8.0,3.0,9.0,3.0,1.8,0.0,0.0,2.0,SA
M de Lange,2011-2016,12,2.0,0.0,9.0,9.0,4.5,0.0,0.0,1.0,SA
GN de Silva,1983-1985,4,2.0,1.0,9.0,7.0,9.0,0.0,0.0,0.0,SL
A Dhingra,2021-2023,18,7.0,4.0,9.0,5.0,3.0,0.0,0.0,1.0,LUX
RR Dower,1899-1899,1,2.0,0.0,9.0,9.0,4.5,0.0,0.0,1.0,SA
Fahad Usman,2004-2004,2,2.0,0.0,9.0,9.0,4.5,0.0,0.0,1.0,UAE
Faisal Athar,2003-2003,1,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,PAK
RS Fernando,2023-2023,1,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,SL
D Hardware,2025-2025,2,2.0,1.0,9.0,7.0,9.0,0.0,0.0,0.0,
RW Hartley,2024-2025,4,3.0,2.0,9.0,5.0,9.0,0.0,0.0,1.0,SRB
A Hearne,1892-1892,1,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,ENG
J Hull,2024-2024,1,2.0,1.0,9.0,7.0,9.0,0.0,0.0,0.0,ENG
AN Hyobeom,2022-2024,6,3.0,0.0,9.0,4.0,3.0,0.0,0.0,0.0,SKOR
Ibrahim Kursad Dalyan,2024-2024,3,3.0,1.0,9.0,6.0,4.5,0.0,0.0,0.0,TKY
Iftikhar Kankhel,2025-2025,11,4.0,2.0,9.0,8.0,4.5,0.0,0.0,1.0,BEL
Itibarshah Deedar,2022-2025,11,4.0,3.0,9.0,5.0,9.0,0.0,0.0,1.0,AUT
NA Janes,2019-2019,2,2.0,0.0,9.0,9.0,4.5,0.0,0.0,1.0,THA
HR Johnson,2004-2004,2,2.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,USA
TF Johnson,1939-1939,1,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,WI
MW Jones,2025-2025,3,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,SCOT
LR Joslin,1968-1968,1,2.0,0.0,9.0,7.0,4.5,0.0,0.0,0.0,AUS
A Kapoor,2022-2022,2,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,CAN
V Khanduri,2024-2024,4,3.0,1.0,9.0,6.0,4.5,0.0,0.0,1.0,CYP
W Landman,2023-2023,3,3.0,0.0,9.0,5.0,3.0,0.0,0.0,0.0,SWZ
Lovepreet Singh,2023-2023,2,2.0,0.0,9.0,6.0,4.5,0.0,0.0,0.0,UAE
J McIlwraith,1886-1886,1,2.0,0.0,9.0,7.0,4.5,0.0,0.0,0.0,AUS
Y Mitari,2021-2022,19,8.0,4.0,9.0,3.0,2.25,0.0,0.0,2.0,RWN
JQK Moala,2024-2024,6,4.0,0.0,9.0,5.0,2.25,0.0,0.0,1.0,Fiji
Mohammad Abrar,2025-2025,4,2.0,1.0,9.0,8.0,9.0,0.0,0.0,0.0,QAT
Mohammad Khalil,2004-2005,5,5.0,2.0,9.0,5.0,3.0,0.0,0.0,1.0,PAK
Mohammad Mohsin,2026-2026,4,3.0,1.0,9.0,8.0,4.5,0.0,0.0,1.0,USA
PG Nana,1975-1975,3,3.0,2.0,9.0,8.0,9.0,0.0,0.0,1.0,EAf
BM Narasimha,2023-2026,3,2.0,1.0,9.0,6.0,9.0,0.0,0.0,0.0,MEX
NO Norton,1910-1910,1,2.0,0.0,9.0,7.0,4.5,0.0,0.0,0.0,SA
KN Peiris,2024-2025,3,4.0,1.0,9.0,5.0,3.0,0.0,0.0,2.0,SL
WKD Perkins,2008-2008,1,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,WI
VRCF Poubel,2019-2024,5,5.0,2.0,9.0,5.0,3.0,0.0,0.0,2.0,BRA
A Poulose,2017-2017,3,3.0,0.0,9.0,9.0,3.0,0.0,0.0,2.0,OMA
Prashant Shukla,2023-2024,6,2.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,SWE
GY Prastama,2023-2023,4,3.0,2.0,9.0,5.0,9.0,0.0,0.0,0.0,INA
RJ Quiney,2012-2012,2,3.0,0.0,9.0,9.0,3.0,0.0,0.0,2.0,AUS
Rashid Zia,2004-2004,2,2.0,0.0,9.0,8.0,4.5,0.0,0.0,0.0,USA
Riaz Afridi,2004-2004,1,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,PAK
GF Rorke,1959-1959,4,4.0,2.0,9.0,7.0,4.5,0.0,0.0,1.0,AUS
S Rukmal,2022-2026,16,7.0,4.0,9.0,5.0,3.0,0.0,0.0,3.0,SEY
Safvan Patel,2025-2025,2,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,PAN
Sakib Hasan,2019-2019,2,2.0,0.0,9.0,8.0,4.5,0.0,0.0,0.0,SRB
TNM Soleh,2025-2025,1,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,INA
Salman Mirza,2025-2026,17,5.0,3.0,9.0,4.0,4.5,0.0,0.0,1.0,PAK
Sanjay Kumar,2021-2021,2,2.0,1.0,9.0,8.0,9.0,0.0,0.0,0.0,HUN
BN Schultz,1992-1997,10,8.0,2.0,9.0,6.0,1.5,0.0,0.0,3.0,SA
AK Sengupta,1959-1959,1,2.0,0.0,9.0,8.0,4.5,0.0,0.0,0.0,IND
Shagharai Sefat,2021-2023,10,5.0,1.0,9.0,4.0,2.25,0.0,0.0,1.0,BEL
H Shah,2022-2022,3,3.0,1.0,9.0,8.0,4.5,0.0,0.0,0.0,NEP
O Shields,2025-2025,2,3.0,0.0,9.0,9.0,3.0,0.0,0.0,2.0,WI
R Smith,2024-2025,8,6.0,2.0,9.0,5.0,2.25,0.0,0.0,2.0,BHM
Soochan Park,2022-2022,2,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,SKOR
GP Sulzberger,2000-2000,3,2.0,1.0,9.0,6.0,9.0,0.0,0.0,0.0,NZ
Sumit Singh,2023-2023,2,2.0,0.0,9.0,7.0,4.5,0.0,0.0,0.0,FIN
FW Tate,1902-1902,1,2.0,1.0,9.0,5.0,9.0,0.0,0.0,0.0,ENG
DS Tomlinson,1935-1935,1,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,SA
T Wangchuk jnr,2019-2019,2,2.0,0.0,9.0,9.0,4.5,0.0,0.0,1.0,BHU
Yadwinder Singh,2023-2023,1,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,HUN
K Yamamoto-Lake,2024-2026,6,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,JPN
Zuhair Muhammad,2024-2024,3,3.0,0.0,9.0,5.0,3.0,0.0,0.0,0.0,KSA
Abbas Saad,2019-2019,2,2.0,0.0,8.0,8.0,4.0,0.0,0.0,1.0,KSA
Abdulla Bhoola,2023-2025,4,3.0,1.0,8.0,7.0,4.0,0.0,0.0,1.0,PAN
Abdul Salam Khan,2025-2025,2,2.0,1.0,8.0,7.0,8.0,0.0,0.0,0.0,KSA
Adil Butt,2020-2020,3,2.0,1.0,8.0,6.0,8.0,0.0,0.0,0.0,KSA
Agha Saadat Ali,1955-1955,1,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,PAK
Alamgir Kabir,2002-2004,3,5.0,1.0,8.0,4.0,2.0,0.0,0.0,2.0,BAN
MC Alex,2024-2024,5,5.0,0.0,8.0,5.0,1.6,0.0,0.0,1.0,CIV
M Altankhuyag,2023-2023,2,2.0,0.0,8.0,8.0,4.0,0.0,0.0,1.0,MNG
S Appu,2019-2019,4,4.0,1.0,8.0,6.0,2.66,0.0,0.0,0.0,MLT
Asif Iqbal,2015-2015,1,1.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,UAE
Azim Patel,2026-2026,3,3.0,0.0,8.0,8.0,2.66,0.0,0.0,2.0,LES
B Banerjee,2019-2019,6,4.0,2.0,8.0,6.0,4.0,0.0,0.0,2.0,MEX
Baz Aybui,2021-2022,10,3.0,2.0,8.0,5.0,8.0,0.0,0.0,0.0,SWE
E Bhonkar,2024-2024,3,3.0,0.0,8.0,3.0,2.66,0.0,0.0,0.0,ISR
JR Bracey,2021-2021,2,3.0,0.0,8.0,8.0,2.66,0.0,0.0,2.0,ENG
BS Browne,1994-1994,4,3.0,2.0,8.0,8.0,8.0,0.0,0.0,1.0,WI
P Buccimazza,2019-2021,7,3.0,1.0,8.0,6.0,4.0,0.0,0.0,0.0,POR
N Casson,2025-2025,5,5.0,2.0,8.0,3.0,2.66,0.0,0.0,1.0,Falk
HS Chang,1979-1979,1,2.0,0.0,8.0,6.0,4.0,0.0,0.0,0.0,WI
Charanjeet Singh,2019-2019,3,2.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,ITA
A Chenthamara,2025-2026,11,3.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,KUW
AS Dean,2008-2013,2,2.0,0.0,8.0,7.0,4.0,0.0,0.0,0.0,CAN
P Dharmani,1996-1996,1,1.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,IND
UG Dowe,1971-1973,4,3.0,2.0,8.0,5.0,8.0,0.0,0.0,0.0,WI
FJ Durston,1921-1921,1,2.0,1.0,8.0,6.0,8.0,0.0,0.0,0.0,ENG
R Edwards,2025-2026,10,3.0,1.0,8.0,8.0,4.0,0.0,0.0,2.0,CAY
TL Fernando,1989-1989,1,1.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,SL
JC Gamage,1995-1995,4,2.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,SL
Gholam Nousher,1986-1990,9,3.0,2.0,8.0,4.0,8.0,0.0,0.0,0.0,BAN
N Gordon,1938-1939,5,6.0,2.0,8.0,7.0,2.0,0.0,0.0,3.0,SA
Hafizur Rahman,1986-1986,2,1.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,BAN
JB Hakizimana,2022-2022,2,2.0,0.0,8.0,8.0,4.0,0.0,0.0,1.0,RWN
J Harry,1895-1895,1,2.0,0.0,8.0,6.0,4.0,0.0,0.0,0.0,AUS
Hazrat Luqman,2024-2024,2,1.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,UAE
M Henderson,1930-1930,1,2.0,1.0,8.0,6.0,8.0,0.0,0.0,0.0,NZ
CFW Hime,1896-1896,1,2.0,0.0,8.0,8.0,4.0,0.0,0.0,1.0,SA
KH Butt,2008-2008,2,2.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,HKG
Ibrar Ahmad,2025-2025,3,2.0,0.0,8.0,8.0,4.0,0.0,0.0,1.0,HUN
E Isaneez,2019-2019,3,2.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,UGA
K Jack,2025-2025,3,2.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,
Jalal-ud-Din,1982-1985,14,5.0,2.0,8.0,5.0,2.66,0.0,0.0,1.0,PAK
DJ Johnson,1996-1996,2,3.0,1.0,8.0,5.0,4.0,0.0,0.0,0.0,IND
S Kalavitigoda,2005-2005,1,2.0,0.0,8.0,7.0,4.0,0.0,0.0,0.0,SL
Karan Singh,2026-2026,2,2.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,CYP
K Kekez,2024-2024,3,3.0,1.0,8.0,6.0,4.0,0.0,0.0,1.0,CRT
Khalil Gurbaz,2025-2025,1,2.0,0.0,8.0,6.0,4.0,0.0,0.0,0.0,AFG
RK Kiseto,2021-2022,13,5.0,1.0,8.0,5.0,2.0,0.0,0.0,1.0,TAN
Kristan Tillett,2024-2024,4,3.0,1.0,8.0,4.0,4.0,0.0,0.0,0.0,Blz
Kuldeep Singh,2019-2019,4,3.0,0.0,8.0,6.0,2.66,0.0,0.0,0.0,PHI
NCK Liyanage,2019-2019,6,3.0,1.0,8.0,8.0,4.0,0.0,0.0,1.0,MAS
HSB Love,1933-1933,1,2.0,0.0,8.0,5.0,4.0,0.0,0.0,0.0,AUS
MA Lynch,1988-1988,3,3.0,0.0,8.0,6.0,2.66,0.0,0.0,1.0,ENG
DAN McRae,1946-1946,1,2.0,0.0,8.0,8.0,4.0,0.0,0.0,1.0,NZ
NA Mallender,1992-1992,2,3.0,0.0,8.0,4.0,2.66,0.0,0.0,0.0,ENG
I Mansaray,2021-2021,4,3.0,1.0,8.0,5.0,4.0,0.0,0.0,0.0,SLE
NE Marshall,1955-1955,1,2.0,0.0,8.0,8.0,4.0,0.0,0.0,1.0,WI
T Mayes,2025-2025,2,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,IRE
BD Milburn,1969-1969,3,3.0,2.0,8.0,4.0,8.0,0.0,0.0,1.0,NZ
TS Mills,2016-2023,16,5.0,2.0,8.0,7.0,2.66,0.0,0.0,2.0,ENG
Mufasir-ul-Haq,1965-1965,1,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,PAK
NZ Nhaduate,2023-2023,2,1.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,MOZ
GWF Overton,1953-1954,3,6.0,1.0,8.0,3.0,1.6,0.0,0.0,2.0,NZ
AL Padmore,1976-1976,2,2.0,1.0,8.0,8.0,8.0,0.0,0.0,1.0,WI
KJ Patel,2021-2021,6,3.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,SEY
